A 	 1 	11 	11 	11 	11 	4 	3 	3 	3 	3 	4 	3 	6 	6 	6 	4 	
A 	 2 	3 	6 	6 	6 	4 	3 	6 	6 	6 	6 	3 	6 	6 	6 	6 	
A 	 3 	3 	6 	6 	6 	6 	3 	6 	6 	2 	6 	3 	6 	6 	2 	6 	
A 	 4 	3 	6 	8 	2 	2 	3 	6 	8 	8 	8 	3 	6 	8 	8 	8 	
A 	 5 	3 	6 	1 	1 	8 	3 	6 	8 	1 	1 	3 	3 	3 	3 	3 	
B 	 1 	11 	11 	11 	11 	11 	3 	3 	3 	3 	3 	6 	6 	6 	6 	6 	
B 	 2 	6 	6 	6 	6 	6 	6 	8 	6 	6 	6 	6 	8 	8 	6 	6 	
B 	 3 	6 	8 	1 	6 	5 	4 	1 	1 	5 	5 	4 	1 	8 	2 	2 	
B 	 4 	4 	2 	8 	8 	7 	4 	2 	8 	10 	7 	5 	2 	2 	10 	9 	
B 	 5 	5 	5 	2 	10 	9 	8 	5 	2 	10 	9 	3 	3 	3 	3 	3 	
C 	 1 	11 	11 	11 	11 	11 	3 	3 	11 	0 	11 	6 	3 	11 	11 	11 	
C 	 2 	6 	3 	11 	0 	11 	6 	3 	11 	11 	11 	6 	3 	11 	0 	11 	
C 	 3 	5 	3 	11 	11 	11 	2 	3 	11 	0 	11 	2 	3 	11 	11 	11 	
C 	 4 	7 	3 	11 	0 	11 	7 	3 	11 	11 	11 	9 	3 	11 	0 	11 	
C 	 5 	9 	3 	11 	11 	11 	9 	3 	11 	0 	11 	3 	3 	11 	11 	11 	
